Ціна,Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Місто,Район,Працює ліфт,Підключене резервне живлення
10000.0,1,3,50.0,11.0,2 кімнати,З меблями,Не вказано,Інше,Невідомо,0,0
9000.0,12,16,46.0,12.0,1 кімната,З меблями,Євроремонт,Одеса,Київський (Одеса),0,0
4000.0,5,5,48.8,8.0,2 кімнати,Не вказано,Не вказано,Кривий Ріг,Невідомо,0,0
2300.0,3,6,19.0,2.0,1 кімната,Не вказано,Євроремонт,Харків,Київський (Харків),0,0
14000.0,4,10,64.0,20.0,2 кімнати,З меблями,Євроремонт,Вишневе,Невідомо,0,0
10000.0,12,24,33.0,9.0,1 кімната,З меблями,Авторський проект,Одеса,Приморський (Одеса),1,0
20000.0,3,6,45.0,15.0,2 кімнати,З меблями,Євроремонт,Київ,Подільський (Київ),0,0
48694.0,16,25,90.0,25.0,3 кімнати,З меблями,Не вказано,Одеса,Приморський (Одеса),0,0
101447.0,20,23,120.0,35.0,4 кімнати,З меблями,Авторський проект,Київ,Голосіївський (Київ),0,0
16231.0,9,23,42.0,18.0,1 кімната,З меблями,Євроремонт,Одеса,Приморський (Одеса),0,0
12000.0,1,9,54.0,8.0,2 кімнати,З меблями,Не вказано,Новомосковськ,Невідомо,0,0
15000.0,3,3,100.0,11.0,3 кімнати,З меблями,Не вказано,Одеса,Приморський (Одеса),0,0
24347.0,4,10,56.0,19.0,1 кімната,З меблями,Євроремонт,Львів,Залізничний (Львів),1,1
16231.0,13,24,56.0,15.0,1 кімната,З меблями,Євроремонт,Одеса,Приморський (Одеса),1,0
8000.0,2,9,45.0,15.0,1 кімната,З меблями,Євроремонт,Харків,Київський (Харків),1,0
28405.0,5,10,50.0,20.0,2 кімнати,З меблями,Авторський проект,Львів,Галицький (Львів),1,1
58839.0,15,24,73.0,9.0,2 кімнати,З меблями,Авторський проект,Київ,Печерський (Київ),0,0
